Attention Value: 0.82 | Head Pose: Pitch -0.37, Yaw 10.49 | Eye Gaze: Pitch -7.88, Yaw 0.04 | Dominant Emotion: Neutral
Attention Value: 0.82 | Head Pose: Pitch 6.72, Yaw -4.02 | Eye Gaze: Pitch 7.61, Yaw 6.33 | Dominant Emotion: Neutral
Attention Value: 0.8 | Head Pose: Pitch -5.56, Yaw 3.39 | Eye Gaze: Pitch -7.92, Yaw -7.08 | Dominant Emotion: Other
Attention Value: 0.79 | Head Pose: Pitch -6.73, Yaw -6.11 | Eye Gaze: Pitch 5.71, Yaw -6.21 | Dominant Emotion: Other
Attention Value: 0.79 | Head Pose: Pitch 20.61, Yaw -9.31 | Eye Gaze: Pitch 8.82, Yaw 6.15 | Dominant Emotion: Happy
Attention Value: 0.79 | Head Pose: Pitch -16.98, Yaw -4.61 | Eye Gaze: Pitch -5.17, Yaw -8.25 | Dominant Emotion: Happy
Attention Value: 0.78 | Head Pose: Pitch 5.36, Yaw -0.31 | Eye Gaze: Pitch -9.38, Yaw 3.74 | Dominant Emotion: Other
Attention Value: 0.78 | Head Pose: Pitch 1.84, Yaw 6.35 | Eye Gaze: Pitch -1.49, Yaw 9.9 | Dominant Emotion: Happy
Attention Value: 0.78 | Head Pose: Pitch -3.84, Yaw 24.01 | Eye Gaze: Pitch -2.87, Yaw 5.93 | Dominant Emotion: Happy
Attention Value: 0.78 | Head Pose: Pitch 12.05, Yaw 2.4 | Eye Gaze: Pitch -6.63, Yaw -0.81 | Dominant Emotion: Other
Attention Value: 0.77 | Head Pose: Pitch -3.16, Yaw 4.46 | Eye Gaze: Pitch -9.15, Yaw 0.81 | Dominant Emotion: Sad
Attention Value: 0.77 | Head Pose: Pitch -0.05, Yaw -0.16 | Eye Gaze: Pitch 7.11, Yaw 3.21 | Dominant Emotion: Sad
Attention Value: 0.77 | Head Pose: Pitch -0.79, Yaw 17.03 | Eye Gaze: Pitch 3.76, Yaw 1.01 | Dominant Emotion: Happy
Attention Value: 0.77 | Head Pose: Pitch 9.21, Yaw 5.91 | Eye Gaze: Pitch -9.98, Yaw 7.31 | Dominant Emotion: Other
Attention Value: 0.76 | Head Pose: Pitch 6.25, Yaw -8.16 | Eye Gaze: Pitch -1.55, Yaw 4.17 | Dominant Emotion: Other
Attention Value: 0.76 | Head Pose: Pitch -0.34, Yaw 6.54 | Eye Gaze: Pitch 5.11, Yaw 1.8 | Dominant Emotion: Other
